2026-08-06 23:57:33,183 | CAMERA_MANAGER | INFO | Sent frame 31 from c2
2026-08-06 23:57:33,208 | CAMERA_MANAGER | INFO | Sent frame 33 from c1
2026-08-06 23:57:33,256 | CAMERA_MANAGER | INFO | Sent frame 35 from c4
2026-08-06 23:57:33,394 | CAMERA_MANAGER | INFO | Sent frame 35 from c3
2026-08-06 23:57:33,414 | CAMERA_MANAGER | INFO | Sent frame 32 from c2
2026-08-06 23:57:33,459 | CAMERA_MANAGER | INFO | Sent frame 34 from c1
2026-08-06 23:57:33,508 | CAMERA_MANAGER | INFO | Sent frame 36 from c4
2026-08-06 23:57:33,677 | CAMERA_MANAGER | INFO | Sent frame 36 from c3
2026-08-06 23:57:33,687 | CAMERA_MANAGER | INFO | Sent frame 33 from c2
2026-08-06 23:57:33,709 | CAMERA_MANAGER | INFO | Sent frame 35 from c1
2026-08-06 23:57:33,758 | CAMERA_MANAGER | INFO | Sent frame 37 from c4
2026-08-06 23:57:33,881 | CAMERA_MANAGER | INFO | Sent frame 34 from c2
2026-08-06 23:57:33,890 | CAMERA_MANAGER | INFO | Sent frame 37 from c3
2026-08-06 23:57:33,960 | CAMERA_MANAGER | INFO | Sent frame 36 from c1
2026-08-06 23:57:34,009 | CAMERA_MANAGER | INFO | Sent frame 38 from c4
2026-08-06 23:57:34,132 | CAMERA_MANAGER | INFO | Sent frame 35 from c2
2026-08-06 23:57:34,142 | CAMERA_MANAGER | INFO | Sent frame 38 from c3
2026-08-06 23:57:34,210 | CAMERA_MANAGER | INFO | Sent frame 37 from c1
2026-08-06 23:57:34,260 | CAMERA_MANAGER | INFO | Sent frame 39 from c4
2026-08-06 23:57:34,393 | CAMERA_MANAGER | INFO | Sent frame 39 from c3
2026-08-06 23:57:34,402 | CAMERA_MANAGER | INFO | Sent frame 36 from c2
2026-08-06 23:57:34,462 | CAMERA_MANAGER | INFO | Sent frame 38 from c1
2026-08-06 23:57:34,511 | CAMERA_MANAGER | INFO | Sent frame 40 from c4
2026-08-06 23:57:34,632 | CAMERA_MANAGER | INFO | Sent frame 37 from c2
2026-08-06 23:57:34,645 | CAMERA_MANAGER | INFO | Sent frame 40 from c3
2026-08-06 23:57:34,712 | CAMERA_MANAGER | INFO | Sent frame 39 from c1
2026-08-06 23:57:34,762 | CAMERA_MANAGER | INFO | Sent frame 41 from c4
2026-08-06 23:57:34,926 | CAMERA_MANAGER | INFO | Sent frame 41 from c3
2026-08-06 23:57:34,984 | CAMERA_MANAGER | INFO | Sent frame 38 from c2
2026-08-06 23:57:34,990 | CAMERA_MANAGER | INFO | Sent frame 40 from c1
2026-08-06 23:57:35,032 | CAMERA_MANAGER | INFO | Sent frame 42 from c4
2026-08-06 23:57:35,156 | CAMERA_MANAGER | INFO | Sent frame 42 from c3
2026-08-06 23:57:35,198 | CAMERA_MANAGER | INFO | Sent frame 39 from c2
2026-08-06 23:57:35,213 | CAMERA_MANAGER | INFO | Sent frame 41 from c1
2026-08-06 23:57:35,265 | CAMERA_MANAGER | INFO | Sent frame 43 from c4
2026-08-06 23:57:35,416 | CAMERA_MANAGER | INFO | Sent frame 43 from c3
2026-08-06 23:57:35,465 | CAMERA_MANAGER | INFO | Sent frame 40 from c2
2026-08-06 23:57:35,468 | CAMERA_MANAGER | INFO | Sent frame 42 from c1
2026-08-06 23:57:35,516 | CAMERA_MANAGER | INFO | Sent frame 44 from c4
2026-08-06 23:57:35,657 | CAMERA_MANAGER | INFO | Sent frame 41 from c2
2026-08-06 23:57:35,670 | CAMERA_MANAGER | INFO | Sent frame 44 from c3
2026-08-06 23:57:35,715 | CAMERA_MANAGER | INFO | Sent frame 43 from c1
2026-08-06 23:57:35,767 | CAMERA_MANAGER | INFO | Sent frame 45 from c4
2026-08-06 23:57:35,888 | CAMERA_MANAGER | INFO | Sent frame 42 from c2
2026-08-06 23:57:35,896 | CAMERA_MANAGER | INFO | Sent frame 45 from c3
2026-08-06 23:57:35,966 | CAMERA_MANAGER | INFO | Sent frame 44 from c1
2026-08-06 23:57:36,019 | CAMERA_MANAGER | INFO | Sent frame 46 from c4
2026-08-06 23:57:36,139 | CAMERA_MANAGER | INFO | Sent frame 43 from c2
2026-08-06 23:57:36,148 | CAMERA_MANAGER | INFO | Sent frame 46 from c3
2026-08-06 23:57:36,218 | CAMERA_MANAGER | INFO | Sent frame 45 from c1
2026-08-06 23:57:36,268 | CAMERA_MANAGER | INFO | Sent frame 47 from c4
2026-08-06 23:57:36,389 | CAMERA_MANAGER | INFO | Sent frame 44 from c2
2026-08-06 23:57:36,407 | CAMERA_MANAGER | INFO | Sent frame 47 from c3
2026-08-06 23:57:36,468 | CAMERA_MANAGER | INFO | Sent frame 46 from c1
2026-08-06 23:57:36,519 | CAMERA_MANAGER | INFO | Sent frame 48 from c4
2026-08-06 23:57:36,640 | CAMERA_MANAGER | INFO | Sent frame 45 from c2
2026-08-06 23:57:36,651 | CAMERA_MANAGER | INFO | Sent frame 48 from c3
2026-08-06 23:57:36,718 | CAMERA_MANAGER | INFO | Sent frame 47 from c1
2026-08-06 23:57:36,770 | CAMERA_MANAGER | INFO | Sent frame 49 from c4
2026-08-06 23:57:36,921 | CAMERA_MANAGER | INFO | Sent frame 49 from c3
2026-08-06 23:57:36,947 | CAMERA_MANAGER | INFO | Sent frame 46 from c2
2026-08-06 23:57:36,970 | CAMERA_MANAGER | INFO | Sent frame 48 from c1
2026-08-06 23:57:37,021 | CAMERA_MANAGER | INFO | Sent frame 50 from c4
2026-08-06 23:57:37,160 | CAMERA_MANAGER | INFO | Sent frame 50 from c3
2026-08-06 23:57:37,199 | CAMERA_MANAGER | INFO | Sent frame 47 from c2
2026-08-06 23:57:37,221 | CAMERA_MANAGER | INFO | Sent frame 49 from c1
2026-08-06 23:57:37,272 | CAMERA_MANAGER | INFO | Sent frame 51 from c4
2026-08-06 23:57:37,392 | CAMERA_MANAGER | INFO | Sent frame 48 from c2
2026-08-06 23:57:37,402 | CAMERA_MANAGER | INFO | Sent frame 51 from c3
2026-08-06 23:57:37,473 | CAMERA_MANAGER | INFO | Sent frame 50 from c1
2026-08-06 23:57:37,523 | CAMERA_MANAGER | INFO | Sent frame 52 from c4
2026-08-06 23:57:37,645 | CAMERA_MANAGER | INFO | Sent frame 49 from c2
2026-08-06 23:57:37,653 | CAMERA_MANAGER | INFO | Sent frame 52 from c3
2026-08-06 23:57:37,723 | CAMERA_MANAGER | INFO | Sent frame 51 from c1
2026-08-06 23:57:37,773 | CAMERA_MANAGER | INFO | Sent frame 53 from c4
2026-08-06 23:57:37,894 | CAMERA_MANAGER | INFO | Sent frame 50 from c2
2026-08-06 23:57:37,903 | CAMERA_MANAGER | INFO | Sent frame 53 from c3
2026-08-06 23:57:37,974 | CAMERA_MANAGER | INFO | Sent frame 52 from c1
2026-08-06 23:57:38,024 | CAMERA_MANAGER | INFO | Sent frame 54 from c4
2026-08-06 23:57:38,196 | CAMERA_MANAGER | INFO | Sent frame 54 from c3
2026-08-06 23:57:38,205 | CAMERA_MANAGER | INFO | Sent frame 51 from c2
2026-08-06 23:57:38,224 | CAMERA_MANAGER | INFO | Sent frame 53 from c1
2026-08-06 23:57:38,275 | CAMERA_MANAGER | INFO | Sent frame 55 from c4
2026-08-06 23:57:38,394 | CAMERA_MANAGER | INFO | Sent frame 52 from c2
2026-08-06 23:57:38,404 | CAMERA_MANAGER | INFO | Sent frame 55 from c3
2026-08-06 23:57:38,476 | CAMERA_MANAGER | INFO | Sent frame 54 from c1
2026-08-06 23:57:38,526 | CAMERA_MANAGER | INFO | Sent frame 56 from c4
2026-08-06 23:57:38,714 | CAMERA_MANAGER | INFO | Sent frame 56 from c3
2026-08-06 23:57:38,747 | CAMERA_MANAGER | INFO | Sent frame 55 from c1
2026-08-06 23:57:38,748 | CAMERA_MANAGER | INFO | Sent frame 53 from c2
2026-08-06 23:57:38,777 | CAMERA_MANAGER | INFO | Sent frame 57 from c4
2026-08-06 23:57:38,937 | CAMERA_MANAGER | INFO | Sent frame 54 from c2
2026-08-06 23:57:38,960 | CAMERA_MANAGER | INFO | Sent frame 57 from c3
2026-08-06 23:57:38,988 | CAMERA_MANAGER | INFO | Sent frame 56 from c1
2026-08-06 23:57:39,028 | CAMERA_MANAGER | INFO | Sent frame 58 from c4
2026-08-06 23:57:39,185 | CAMERA_MANAGER | INFO | Sent frame 55 from c2
2026-08-06 23:57:39,218 | CAMERA_MANAGER | INFO | Sent frame 58 from c3
2026-08-06 23:57:39,243 | CAMERA_MANAGER | INFO | Sent frame 57 from c1
2026-08-06 23:57:39,283 | CAMERA_MANAGER | INFO | Sent frame 59 from c4
2026-08-06 23:57:39,436 | CAMERA_MANAGER | INFO | Sent frame 56 from c2
2026-08-06 23:57:39,463 | CAMERA_MANAGER | INFO | Sent frame 59 from c3
2026-08-06 23:57:39,478 | CAMERA_MANAGER | INFO | Sent frame 58 from c1
2026-08-06 23:57:39,530 | CAMERA_MANAGER | INFO | Sent frame 60 from c4
2026-08-06 23:57:39,656 | CAMERA_MANAGER | INFO | Sent frame 57 from c2
2026-08-06 23:57:39,681 | CAMERA_MANAGER | INFO | Sent frame 60 from c3
2026-08-06 23:57:39,728 | CAMERA_MANAGER | INFO | Sent frame 59 from c1
2026-08-06 23:57:39,782 | CAMERA_MANAGER | INFO | Sent frame 61 from c4
2026-08-06 23:57:39,899 | CAMERA_MANAGER | INFO | Sent frame 58 from c2
2026-08-06 23:57:39,932 | CAMERA_MANAGER | INFO | Sent frame 61 from c3
2026-08-06 23:57:39,980 | CAMERA_MANAGER | INFO | Sent frame 60 from c1
