2026-08-07 00:08:39,535 | ROI | INFO | CAM=c2 LABEL=Helmet INSIDE_ROI=False
2026-08-07 00:08:39,539 | ROI | INFO | CAM=c2 LABEL=Helmet INSIDE_ROI=False
2026-08-07 00:08:39,545 | ROI | INFO | CAM=c2 LABEL=Helmet INSIDE_ROI=False
2026-08-07 00:08:39,548 | ROI | INFO | CAM=c2 LABEL=Helmet INSIDE_ROI=False
2026-08-07 00:08:39,551 | ROI | INFO | CAM=c2 LABEL=Helmet INSIDE_ROI=False
2026-08-07 00:08:39,554 | ROI | INFO | CAM=c2 LABEL=Helmet INSIDE_ROI=False
2026-08-07 00:08:39,556 | ROI | INFO | CAM=c2 LABEL=Helmet INSIDE_ROI=False
2026-08-07 00:08:39,559 | ROI | INFO | CAM=c2 LABEL=Helmet INSIDE_ROI=False
2026-08-07 00:08:39,563 | ROI | INFO | CAM=c2 LABEL=Helmet INSIDE_ROI=False
2026-08-07 00:08:39,564 | ROI | INFO | CAM=c2 LABEL=Helmet INSIDE_ROI=False
2026-08-07 00:08:39,567 | ROI | INFO | CAM=c2 LABEL=Helmet INSIDE_ROI=False
2026-08-07 00:08:39,570 | ROI | INFO | CAM=c2 LABEL=Helmet INSIDE_ROI=False
2026-08-07 00:08:39,572 | ROI | INFO | CAM=c2 LABEL=Helmet INSIDE_ROI=False
2026-08-07 00:08:39,575 | ROI | INFO | CAM=c2 LABEL=Helmet INSIDE_ROI=False
2026-08-07 00:08:39,577 | ROI | INFO | CAM=c2 LABEL=Helmet INSIDE_ROI=False
2026-08-07 00:08:39,580 | ROI | INFO | CAM=c2 LABEL=Helmet INSIDE_ROI=False
2026-08-07 00:08:39,583 | ROI | INFO | CAM=c2 LABEL=Helmet INSIDE_ROI=False
2026-08-07 00:08:39,585 | ROI | INFO | CAM=c2 LABEL=Helmet INSIDE_ROI=False
2026-08-07 00:08:39,588 | ROI | INFO | CAM=c2 LABEL=Helmet INSIDE_ROI=False
2026-08-07 00:08:39,591 | ROI | INFO | CAM=c2 LABEL=Helmet INSIDE_ROI=False
2026-08-07 00:08:39,594 | ROI | INFO | CAM=c2 LABEL=Helmet INSIDE_ROI=False
2026-08-07 00:08:39,596 | ROI | INFO | CAM=c2 LABEL=Helmet INSIDE_ROI=False
2026-08-07 00:08:39,598 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=True
2026-08-07 00:08:39,600 | ROI | ERROR | Redis Save Error: unknown command 'HELLO'
2026-08-07 00:08:39,602 | ROI | INFO | Created video file: roi_detected_frames\c4\Person_roi.avi
2026-08-07 00:08:39,604 | ROI | INFO | Frame written to video -> CAM=c4 LABEL=Person
2026-08-07 00:08:39,622 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=True
2026-08-07 00:08:39,624 | ROI | ERROR | Redis Save Error: unknown command 'HELLO'
2026-08-07 00:08:39,626 | ROI | INFO | Frame written to video -> CAM=c4 LABEL=Person
2026-08-07 00:08:39,627 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=False
2026-08-07 00:08:39,633 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=True
2026-08-07 00:08:39,635 | ROI | ERROR | Redis Save Error: unknown command 'HELLO'
2026-08-07 00:08:39,637 | ROI | INFO | Frame written to video -> CAM=c4 LABEL=Person
2026-08-07 00:08:39,638 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=False
2026-08-07 00:08:39,638 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=False
2026-08-07 00:08:39,638 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=True
2026-08-07 00:08:39,661 | ROI | ERROR | Redis Save Error: unknown command 'HELLO'
2026-08-07 00:08:39,663 | ROI | INFO | Frame written to video -> CAM=c4 LABEL=Person
2026-08-07 00:08:39,679 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=True
2026-08-07 00:08:39,692 | ROI | ERROR | Redis Save Error: unknown command 'HELLO'
2026-08-07 00:08:39,694 | ROI | INFO | Frame written to video -> CAM=c4 LABEL=Person
2026-08-07 00:08:39,694 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=False
2026-08-07 00:08:39,694 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=False
